0:	theoretical	formula	expression	reasoning	edu	
1:	income	tax	salary	violin	consumer	
2:	programming	java	web	code	data	
3:	journal	research	science	biology	news	
4:	research	edu	computer	information	parallel	
5:	earth	system	respiratory	hazards	natural	
6:	fashion	design	designers	designer	com	
7:	jobs	access	wireless	search	network	
8:	movie	film	movies	imdb	com	
9:	car	electrical	trade	wheels	import	
10:	posters	com	football	allposters	news	
11:	force	navy	freedom	air	naval	
12:	theorem	proof	newton	pythagorean	wikipedia	
13:	party	graduation	communist	gifts	religion	
14:	business	marketing	management	capital	law	
15:	fft	sport	ligues	résultats	championnats	
16:	theory	physics	quantum	wikipedia	mathematical	
17:	economic	research	sector	trade	global	
18:	match	game	world	games	cup	
19:	health	diet	healthy	calorie	fitness	
20:	automatic	gear	nuclear	transmission	weapons	
21:	health	cancer	information	gov	medical	
22:	edu	school	science	research	university	
23:	markov	chain	chains	monte	carlo	
24:	amazon	com	books	democracy	american	
25:	democracy	political	system	party	republic	
26:	sports	news	football	com	soccer	
27:	war	house	political	gov	information	
28:	snickers	gromsearch	rip	curl	època	
29:	maradona	diego	goalkeeper	youtube	watch	
30:	stock	market	news	exchange	finance	
31:	games	digital	com	video	online	
32:	art	science	space	museum	exploration	
33:	engine	xml	document	motor	fuel	
34:	music	lyrics	rock	com	band	
35:	cabinet	news	appointment	hospital	doctor	
36:	culture	wikipedia	philosophy	edu	encyclopedia	
37:	intel	amd	chip	processor	core	
38:	computer	software	memory	wikipedia	web	
39:	internet	bandwidth	test	speed	connection	
