0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
7.0E-5,1.9E-4,0.00295,0.00374,0.00133,0.00102,0.00292,0.0021,0.00229,0.01144,0.0,0.00163,0.0,0.00312,0.00399,0.0,3.9E-4,7.9E-4,0.0,0.0019,0.00173,0.00284,0.00183,0.0,9.0E-5,9.2E-4,0.00193,0.00179,0.0,0.0,0.00138,0.00165,0.00258,0.00102,0.0029,0.0,0.00315,5.9E-4,0.00156,0.00117,business
6.0E-5,2.2E-4,9.9E-4,2.5E-4,7.5E-4,7.0E-4,2.6E-4,0.00637,4.3E-4,0.00358,3.0E-5,6.0E-5,1.0E-4,6.3E-4,0.00144,0.0,5.0E-4,7.4E-4,1.0E-5,4.0E-4,2.7E-4,2.0E-4,2.5E-4,0.0,1.6E-4,2.1E-4,1.7E-4,1.4E-4,0.0,4.0E-5,8.1E-4,0.00183,1.6E-4,0.001,3.1E-4,4.0E-5,1.3E-4,3.9E-4,9.9E-4,4.0E-5,business
6.0E-4,5.6E-4,2.0E-4,3.2E-4,0.001,4.0E-4,0.00209,0.00318,1.6E-4,0.00431,3.0E-5,1.1E-4,3.2E-4,0.00307,4.9E-4,0.0,1.3E-4,9.9E-4,2.0E-5,1.9E-4,0.00234,1.8E-4,1.1E-4,0.0,1.2E-4,4.0E-4,1.3E-4,5.0E-5,0.0,1.1E-4,3.7E-4,3.8E-4,7.0E-5,2.9E-4,1.8E-4,7.0E-5,6.7E-4,7.9E-4,6.0E-4,1.2E-4,business
2.0E-5,3.8E-4,4.5E-4,8.6E-4,0.00111,8.6E-4,3.1E-4,6.7E-4,6.8E-4,0.00186,0.0,1.9E-4,0.0,2.7E-4,0.00151,0.0,8.5E-4,9.9E-4,6.0E-5,8.0E-4,4.3E-4,0.00164,7.4E-4,8.0E-5,8.0E-5,3.0E-4,5.9E-4,0.00108,0.0,9.0E-5,0.00118,4.7E-4,5.2E-4,5.5E-4,5.1E-4,0.0,4.6E-4,2.3E-4,0.00105,6.9E-4,business
2.0E-5,5.7E-4,5.5E-4,0.00109,0.00122,0.00144,0.00329,0.00786,4.0E-4,0.01142,0.0,0.0,6.0E-5,0.00254,0.00214,0.0,1.2E-4,0.00135,0.0,0.00174,0.00114,5.7E-4,1.8E-4,0.0,3.0E-5,5.5E-4,3.0E-4,9.0E-5,0.0,0.0,0.00126,5.2E-4,2.4E-4,0.00109,2.0E-4,0.0,1.5E-4,0.00181,0.00213,1.4E-4,business
9.3E-4,5.7E-4,3.6E-4,7.1E-4,4.7E-4,0.00135,0.00123,0.0021,2.7E-4,0.00388,2.5E-4,5.0E-5,0.0,0.00612,0.00116,0.0,3.6E-4,8.9E-4,2.2E-4,9.7E-4,4.3E-4,0.00109,5.6E-4,3.0E-4,0.0,5.9E-4,2.6E-4,9.4E-4,0.0,0.0,7.3E-4,3.7E-4,3.5E-4,9.9E-4,2.4E-4,8.6E-4,1.7E-4,7.0E-4,7.8E-4,2.8E-4,business
2.9E-4,8.9E-4,8.2E-4,0.00148,0.00135,0.0023,0.00111,0.00516,6.9E-4,0.00893,2.2E-4,1.9E-4,1.7E-4,0.00361,0.0021,0.0,6.1E-4,0.00209,1.5E-4,0.00349,0.001,0.00406,0.00103,1.2E-4,6.0E-5,9.2E-4,5.1E-4,0.00125,0.0,7.0E-5,0.0013,4.2E-4,5.7E-4,0.00115,4.0E-4,7.3E-4,5.8E-4,0.00128,0.00194,0.0,business
0.0,2.0E-4,1.9E-4,2.2E-4,2.6E-4,3.4E-4,6.6E-4,6.7E-4,2.9E-4,0.00341,0.0,1.4E-4,1.2E-4,2.9E-4,7.7E-4,0.0,7.0E-5,3.1E-4,1.0E-4,3.6E-4,1.0E-4,2.2E-4,3.2E-4,0.0,3.0E-5,1.3E-4,2.2E-4,3.5E-4,0.0,5.0E-5,3.4E-4,3.2E-4,2.1E-4,4.3E-4,2.0E-4,1.4E-4,1.1E-4,3.3E-4,3.3E-4,6.0E-4,business
1.0E-4,0.0035,3.1E-4,8.6E-4,9.7E-4,6.4E-4,6.4E-4,0.0027,7.1E-4,0.00498,0.00117,0.0014,0.0,0.00105,0.00121,0.0,2.6E-4,0.00138,9.6E-4,0.00113,5.0E-4,7.3E-4,2.5E-4,0.0,1.4E-4,8.8E-4,0.00158,6.9E-4,0.0,1.0E-4,0.00354,6.5E-4,3.0E-4,7.4E-4,7.1E-4,0.00121,0.00118,0.00144,0.00174,2.4E-4,business
2.0E-5,2.9E-4,0.00212,3.1E-4,5.9E-4,0.00348,6.9E-4,0.00391,5.7E-4,0.00568,0.0,0.0,0.0,0.00127,0.00198,0.0,1.1E-4,9.5E-4,1.0E-5,8.2E-4,4.3E-4,3.8E-4,1.8E-4,0.0,8.0E-5,2.6E-4,1.8E-4,2.4E-4,0.0,2.2E-4,0.00115,2.7E-4,1.4E-4,4.2E-4,1.9E-4,0.0,9.0E-5,7.6E-4,0.00114,6.0E-4,business
7.0E-5,2.7E-4,2.7E-4,0.00266,9.4E-4,0.00443,0.00111,0.00807,2.1E-4,0.00705,0.0,9.7E-4,7.0E-5,0.00473,0.00359,0.0,6.5E-4,0.00247,1.7E-4,0.00156,0.00149,0.00135,7.4E-4,0.0,2.9E-4,9.2E-4,2.3E-4,1.5E-4,0.0,0.0,7.7E-4,2.8E-4,2.8E-4,5.6E-4,6.0E-5,3.0E-5,6.0E-4,0.00113,0.00134,0.0,business
1.2E-4,3.6E-4,7.0E-5,3.4E-4,3.6E-4,0.0044,3.3E-4,0.00218,7.0E-5,0.00192,3.0E-5,0.0,4.0E-5,0.00123,5.4E-4,0.0,2.1E-4,8.6E-4,2.0E-5,5.3E-4,3.9E-4,0.00125,2.8E-4,1.1E-4,3.2E-4,3.6E-4,5.0E-5,7.1E-4,0.0,6.0E-5,1.9E-4,1.1E-4,1.9E-4,5.9E-4,1.0E-4,3.2E-4,4.0E-5,2.8E-4,3.9E-4,1.3E-4,business
2.4E-4,2.7E-4,0.0014,5.1E-4,8.3E-4,4.8E-4,0.00203,0.00184,3.2E-4,0.00725,0.0,2.8E-4,8.0E-5,9.6E-4,0.00122,0.0,1.8E-4,6.0E-4,1.9E-4,7.9E-4,5.1E-4,3.2E-4,3.1E-4,6.0E-5,1.4E-4,2.4E-4,5.7E-4,2.6E-4,0.0,3.2E-4,4.7E-4,7.1E-4,3.0E-4,4.4E-4,2.8E-4,0.0,2.2E-4,8.7E-4,0.00147,2.6E-4,business
1.8E-4,5.3E-4,0.00213,0.00238,0.00113,8.0E-4,0.00187,0.002,0.00221,0.00605,0.00164,0.00127,1.3E-4,9.0E-4,0.0026,0.0,6.0E-4,0.00114,6.9E-4,0.00129,5.6E-4,0.00186,0.00113,0.0,0.0036,4.4E-4,0.00195,0.00131,0.0,5.6E-4,0.00147,0.00185,0.00204,7.2E-4,0.00231,2.3E-4,0.0017,7.0E-4,0.00122,0.00128,business
0.0,2.7E-4,1.5E-4,2.1E-4,1.7E-4,3.4E-4,3.5E-4,0.00179,1.2E-4,0.00381,0.0,0.0,3.6E-4,6.3E-4,3.1E-4,0.0,4.0E-5,3.5E-4,7.0E-5,2.2E-4,4.5E-4,1.5E-4,8.0E-5,8.0E-5,0.0,1.3E-4,7.0E-5,1.4E-4,0.0,8.0E-5,2.0E-4,1.9E-4,8.0E-5,3.3E-4,8.0E-5,4.0E-5,4.0E-5,3.9E-4,4.7E-4,0.0,business
0.0,2.0E-4,3.0E-4,5.3E-4,9.2E-4,6.9E-4,0.00323,0.00244,6.4E-4,0.00625,3.0E-5,4.1E-4,0.0,9.1E-4,0.00256,0.0,5.0E-5,0.00174,2.0E-5,6.2E-4,3.4E-4,5.4E-4,2.4E-4,0.0,6.0E-5,2.1E-4,1.6E-4,1.9E-4,0.0,0.0,0.00111,4.6E-4,1.8E-4,6.9E-4,1.8E-4,0.0,9.0E-5,8.4E-4,0.00105,4.0E-4,business
2.0E-5,2.1E-4,1.4E-4,1.4E-4,2.3E-4,4.2E-4,9.0E-5,0.00533,9.0E-5,0.00358,7.0E-5,6.0E-5,5.0E-5,8.9E-4,7.9E-4,0.0,8.0E-5,0.00101,0.0,7.0E-5,9.2E-4,2.2E-4,5.2E-4,0.0,2.0E-5,1.9E-4,6.0E-5,1.9E-4,0.0,0.0,5.1E-4,1.2E-4,0.001,6.3E-4,2.2E-4,0.0,2.7E-4,1.8E-4,2.9E-4,4.5E-4,business
0.00454,0.00131,4.5E-4,0.00151,0.00404,0.0016,0.00129,0.00714,4.6E-4,0.01309,3.0E-5,9.7E-4,6.4E-4,0.00396,0.00197,0.0,8.1E-4,0.0015,2.4E-4,0.00143,0.00151,4.9E-4,3.6E-4,0.0,5.0E-5,5.1E-4,2.7E-4,3.0E-4,0.0,4.0E-5,0.00143,7.3E-4,2.9E-4,9.7E-4,2.1E-4,4.0E-5,2.1E-4,0.00182,0.00222,8.0E-5,business
